"find_number","material","start_date","end_date","l2_class","object_diameter","object_height","ceramics_image_type","ceramics_mark","on_website","material_simplified","url"
"NZR2.00257CER066","industrial ware: white",1775,1850,"Consumption: drinking",95.0,55.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00514CER247","faience: Holland",1750,1825,"Consumption: drinking",95.0,60.0,NULL,NULL,0,"faience",NULL
"NZR2.00520CER080","porcelain: Europe",1850,1900,"Consumption: drinking",90.0,55.0,NULL,NULL,0,"porcelain",NULL
"NZR2.00523CER081","porcelain: Europe",1825,1875,"Consumption: drinking",115.0,25.0,NULL,NULL,0,"porcelain",NULL
"NZR2.00575CER040","porcelain: Europe",1775,1825,"Consumption: drinking",130.0,30.0,NULL,NULL,0,"porcelain",NULL
"NZR2.00657CER148","faience: French",1600,1675,"Food consumption: plate, dish, bowl",400.0,50.0,NULL,NULL,0,"faience",NULL
"NZV1.00001CER003","faience",1625,1675,"Food consumption: plate, dish, bowl",280.0,70.0,NULL,NULL,0,"faience",NULL
"NZR2.00382CER032","faience: French",1600,1650,"Food consumption: plate, dish, bowl",340.0,55.0,NULL,NULL,0,"faience",NULL
"NZR2.00512CER298","faience: French",1600,1650,"Food consumption: plate, dish, bowl",150.0,50.0,NULL,NULL,0,"faience",NULL
"NZD1.00029CER050","faience: Holland",1725,1775,"Food consumption: plate, dish, bowl",220.0,35.0,"floral motif",NULL,0,"faience",NULL
"NZD1.00052CER039","faience: Holland",1725,1800,"Food consumption: plate, dish, bowl",220.0,30.0,NULL,NULL,0,"faience",NULL
"NZD1.00053CER051","faience: Holland",1675,1750,"Food consumption: plate, dish, bowl",100.0,18.0,"floral motif",NULL,0,"faience",NULL
"NZD1.00068CER093","faience: Holland",1725,1775,"Food consumption: plate, dish, bowl",320.0,50.0,"floral motif",NULL,0,"faience",NULL
"NZD1.00072CER073","faience: Holland",1650,1700,"Food consumption: plate, dish, bowl",240.0,28.0,NULL,NULL,0,"faience",NULL
"NZD1.00081CER058","faience: Holland",1650,1700,"Food consumption: plate, dish, bowl",280.0,25.0,NULL,NULL,0,"faience",NULL
"NZD1.00087CER126","faience: Holland",1625,1675,"Food consumption: plate, dish, bowl",210.0,15.0,NULL,NULL,0,"faience",NULL
"NZD1.00088CER085","faience: Holland",1625,1675,"Food consumption: plate, dish, bowl",240.0,30.0,"chinese decor",NULL,0,"faience",NULL
"NZD1.00088CER101","faience: Holland",1650,1725,"Food consumption: plate, dish, bowl",220.0,25.0,NULL,NULL,0,"faience",NULL
"NZD1.00095CER088","faience: Holland",1725,1800,"Food consumption: plate, dish, bowl",220.0,40.0,"floral motif",NULL,0,"faience",NULL
"NZD1.00099CER067","faience: Holland",1725,1775,"Food consumption: plate, dish, bowl",110.0,25.0,"floral motif",NULL,0,"faience",NULL
"NZD1.00106CER007","faience: Holland",1650,1725,"Food consumption: plate, dish, bowl",220.0,28.0,NULL,NULL,0,"faience",NULL
"NZD1.00168CER007","faience: Holland",1650,1725,"Food consumption: plate, dish, bowl",280.0,27.0,NULL,NULL,0,"faience",NULL
"NZD1.00283CER002","faience: Holland",1650,1700,"Food consumption: plate, dish, bowl",220.0,28.0,NULL,NULL,0,"faience",NULL
"NZD1.00354CER014","faience: Holland",1650,1725,"Food consumption: plate, dish, bowl",280.0,32.0,NULL,NULL,0,"faience",NULL
"NZD1.00360CER004","faience: Holland",1625,1675,"Food consumption: plate, dish, bowl",220.0,25.0,NULL,NULL,0,"faience",NULL
"NZD1.00364CER007","faience: Holland",1650,1700,"Food consumption: plate, dish, bowl",220.0,23.0,NULL,NULL,0,"faience",NULL
"NZD1.00374CER002","faience: Holland",1675,1725,"Food consumption: plate, dish, bowl",240.0,30.0,NULL,NULL,0,"faience",NULL
"NZD1.00386CER065","faience: Holland",1650,1725,"Food consumption: plate, dish, bowl",260.0,35.0,NULL,NULL,0,"faience",NULL
"NZD1.00425CER008","faience: Holland",1650,1700,"Food consumption: plate, dish, bowl",210.0,20.0,NULL,NULL,0,"faience",NULL
"NZD1.00444CER058","faience: Holland",1725,1800,"Food consumption: plate, dish, bowl",220.0,40.0,"floral motif",NULL,0,"faience",NULL
"NZDAM1.00011CER003","faience: Holland",1650,1700,"Food consumption: plate, dish, bowl",340.0,48.0,"chinese decor",NULL,0,"faience",NULL
"NZDAM1.00011CER018","faience: Holland",1700,1800,"Food consumption: plate, dish, bowl",230.0,35.0,"floral motif",NULL,0,"faience",NULL
"NZR2.00022CER061","faience: Holland",1675,1750,"Food consumption: plate, dish, bowl",230.0,30.0,"text/inscriptions",NULL,0,"faience",NULL
"NZR2.00026CER016","faience: Holland",1650,1750,"Food consumption: plate, dish, bowl",240.0,28.0,"still lifes/objects",NULL,0,"faience",NULL
"NZR2.00027CER015","faience: Holland",1725,1800,"Food consumption: plate, dish, bowl",230.0,30.0,NULL,NULL,0,"faience",NULL
"NZR2.00047CER002","faience: Holland",1650,1700,"Food consumption: plate, dish, bowl",220.0,26.0,NULL,NULL,0,"faience",NULL
"NZR2.00196CER046","faience: Holland",1650,1675,"Food consumption: plate, dish, bowl",210.0,28.0,NULL,NULL,0,"faience",NULL
"NZR2.00253CER117","faience: Holland",1750,1825,"Consumption: drinking",90.0,55.0,NULL,NULL,0,"faience",NULL
"NZR2.00284CER049","faience: Holland",1775,1850,"Consumption: drinking",100.0,60.0,"geometric patterns",NULL,0,"faience",NULL
"NZR2.00286CER070","faience: Holland",1750,1825,"Food consumption: plate, dish, bowl",160.0,27.0,NULL,NULL,0,"faience",NULL
"NZR2.00305CER220","faience: Holland",1775,1825,"Food consumption: plate, dish, bowl",115.0,30.0,"floral motif",NULL,0,"faience",NULL
"NZR2.00313CER053","faience: Holland",1700,1800,"Consumption: drinking",65.0,35.0,NULL,NULL,0,"faience",NULL
"NZR2.00325CER006","faience: Holland",1650,1750,"Food preparation and consumption: various parts of kitchenware",92.0,58.0,NULL,NULL,0,"faience",NULL
"NZR2.00332CER004","faience: Holland",1750,1825,"Consumption: drinking",80.0,50.0,"geometric patterns",NULL,0,"faience",NULL
"NZR2.00351CER025","faience: Holland",1750,1825,"Food consumption: plate, dish, bowl",200.0,48.0,NULL,NULL,0,"faience",NULL
"NZR2.00451CER041","faience: Holland",1650,1700,"Food consumption: plate, dish, bowl",360.0,65.0,NULL,NULL,0,"faience",NULL
"NZR2.00512CER193","faience: Holland",1725,1800,"Consumption: drinking",90.0,60.0,NULL,NULL,0,"faience",NULL
"NZR2.00515CER137","faience: Holland",1650,1700,"Food consumption: plate, dish, bowl",220.0,25.0,"text/inscriptions",NULL,0,"faience",NULL
"NZR2.00535CER077","faience: Holland",1750,1825,"Food consumption: plate, dish, bowl",160.0,23.0,NULL,NULL,0,"faience",NULL
"NZR2.00564CER005","faience: Holland",1750,1825,"Consumption: drinking",100.0,60.0,NULL,NULL,0,"faience",NULL
"NZR2.00599CER185","faience: Holland",1650,1675,"Food consumption: plate, dish, bowl",220.0,17.0,NULL,NULL,0,"faience",NULL
"NZR2.00599CER188","faience: Holland",1650,1700,"Food consumption: plate, dish, bowl",220.0,35.0,NULL,NULL,0,"faience",NULL
"NZR2.00731CER006","faience: Holland",1650,1700,"Food consumption: plate, dish, bowl",340.0,85.0,NULL,NULL,0,"faience",NULL
"NZR2.00803CER010","faience: Holland",1650,1700,"Food consumption: plate, dish, bowl",230.0,35.0,NULL,NULL,0,"faience",NULL
"NZV1.00016CER001","faience: Holland",1700,1750,"Consumption: drinking",65.0,42.0,"floral motif",NULL,0,"faience",NULL
"NZV1.00001CER001","faience: Holland",1650,1700,"Food consumption: plate, dish, bowl",210.0,20.0,NULL,NULL,0,"faience",NULL
"NZV1.00002CER001","faience: Holland",1650,1700,"Food consumption: plate, dish, bowl",210.0,30.0,NULL,NULL,0,"faience",NULL
"NZV1.00002CER002","faience: Holland",1650,1700,"Food consumption: plate, dish, bowl",210.0,30.0,"floral motif",NULL,0,"faience",NULL
"NZD1.00300CER004","faience: Italian",1575,1600,"Food consumption: plate, dish, bowl",210.0,25.0,"floral motif",NULL,0,"faience",NULL
"NZR2.00079CER022","faience: Italian",1610,1650,"Food consumption: plate, dish, bowl",180.0,33.0,"religious/biblical images",NULL,0,"faience",NULL
"NZR2.00173CER010","faience: Italian",1575,1625,"Food consumption: plate, dish, bowl",220.0,35.0,"landscape",NULL,0,"faience",NULL
"NZR2.00252CER197","faience: Italian",1575,1625,"Food consumption: plate, dish, bowl",240.0,20.0,"floral motif",NULL,0,"faience",NULL
"NZR2.00565CER001","industrial ware: black",1760,1780,"Consumption: drinking",75.0,27.0,NULL,NULL,0,"industrial ware",NULL
"NZD1.00068CER123","industrial ware: creamware",1760,1800,"Food consumption: plate, dish, bowl",180.0,53.0,NULL,NULL,0,"industrial ware",NULL
"NZD1.00301CER049","industrial ware: creamware",1775,1800,"Food consumption: plate, dish, bowl",110.0,60.0,NULL,NULL,0,"industrial ware",NULL
"NZDAM1.00012CER033","industrial ware: creamware",1775,1825,"Food consumption: plate, dish, bowl",260.0,25.0,NULL,NULL,0,"industrial ware",NULL
"NZR1.00005CER008","industrial ware: creamware",1775,1825,"Food consumption: plate, dish, bowl",180.0,16.0,NULL,NULL,0,"industrial ware",NULL
"NZD1.00075CER078","industrial ware: pearlware",1790,1825,"Consumption: drinking",130.0,25.0,"floral motif",NULL,0,"industrial ware",NULL
"NZD1.00077CER107","industrial ware: pearlware",1775,1800,"Consumption: drinking",125.0,30.0,"chinese decor",NULL,0,"industrial ware",NULL
"NZD1.00079CER095","industrial ware: pearlware",1775,1800,"Consumption: drinking",100.0,25.0,"floral motif",NULL,0,"industrial ware",NULL
"NZR2.00577CER091","industrial ware: red",1825,1875,"Consumption: drinking",90.0,21.0,"geometric patterns",NULL,0,"industrial ware",NULL
"NZR2.00599CER174","industrial ware: red",1825,1875,"Consumption: drinking",90.0,20.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.01028CER014","industrial ware: red",1825,1875,"Consumption: drinking",100.0,25.0,NULL,NULL,0,"industrial ware",NULL
"NZDAM1.00012CER034","industrial ware: rewdware",1800,1850,"Consumption: drinking",85.0,42.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00518CER232","industrial ware: stoneware",1725,1775,"Consumption: drinking",120.0,30.0,NULL,NULL,0,"industrial ware",NULL
"NZD1.00007CER016","industrial ware: white",1960,2005,"Consumption: drinking",80.0,80.0,"human figure",NULL,0,"industrial ware",NULL
"NZD1.00021CER047","industrial ware: white",1800,1850,"Food consumption: plate, dish, bowl",180.0,20.0,NULL,NULL,0,"industrial ware",NULL
"NZD1.00021CER048","industrial ware: white",1875,1925,"Food consumption: plate, dish, bowl",200.0,22.0,NULL,NULL,0,"industrial ware",NULL
"NZD1.00023CER057","industrial ware: white",1900,1950,"Food consumption: plate, dish, bowl",150.0,25.0,"floral motif",NULL,0,"industrial ware",NULL
"NZD1.00027CER047","industrial ware: white",1875,1925,"Food consumption: plate, dish, bowl",160.0,30.0,NULL,NULL,0,"industrial ware",NULL
"NZD1.00052CER062","industrial ware: white",1850,1900,"Food consumption: plate, dish, bowl",220.0,27.0,NULL,NULL,0,"industrial ware",NULL
"NZD1.00068CER096","industrial ware: white",1850,1880,"Food consumption: plate, dish, bowl",220.0,20.0,"mixture","Societe Ceramique 530",0,"industrial ware",NULL
"NZD1.00078CER104","industrial ware: white",1825,1875,"Food consumption: plate, dish, bowl",220.0,45.0,NULL,NULL,0,"industrial ware",NULL
"NZD1.00090CER092","industrial ware: white",1850,1880,"Food consumption: plate, dish, bowl",140.0,25.0,"landscape",NULL,0,"industrial ware",NULL
"NZD1.00098CER097","industrial ware: white",1825,1875,"Consumption: drinking",135.0,25.0,"landscape",NULL,0,"industrial ware",NULL
"NZD1.00120CER001","industrial ware: white",1850,1900,"Food consumption: plate, dish, bowl",195.0,17.0,NULL,NULL,0,"industrial ware",NULL
"NZD1.00540CER012","industrial ware: white",1850,1900,"Food preparation and consumption: various parts of kitchenware",90.0,25.0,NULL,NULL,0,"industrial ware",NULL
"NZDAM1.00012CER035","industrial ware: white",1825,1850,"Consumption: drinking",115.0,24.0,"landscape",NULL,0,"industrial ware",NULL
"NZDAM1.00012CER042","industrial ware: white",1850,1900,"Food consumption: plate, dish, bowl",260.0,38.0,NULL,NULL,0,"industrial ware",NULL
"NZDAM1.00013CER018","industrial ware: white",1850,1900,"Food consumption: plate, dish, bowl",140.0,18.0,NULL,NULL,0,"industrial ware",NULL
"NZR1.00001CER010","industrial ware: white",1825,1875,"Food consumption: plate, dish, bowl",210.0,15.0,NULL,NULL,0,"industrial ware",NULL
"NZR1.00005CER006","industrial ware: white",1850,1900,"Consumption: drinking",90.0,50.0,NULL,NULL,0,"industrial ware",NULL
"NZR1.00009CER003","industrial ware: white",1850,1900,"Food consumption: plate, dish, bowl",150.0,30.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00005CER003","industrial ware: white",1825,1875,"Food consumption: plate, dish, bowl",180.0,55.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00088CER045","industrial ware: white",1760,1825,"Consumption: drinking",130.0,30.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00126CER001","industrial ware: white",1850,1925,"Food consumption: plate, dish, bowl",240.0,30.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00219CER082","industrial ware: white",1760,1800,"Consumption: drinking",90.0,25.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00221CER092","industrial ware: white",1850,1900,"Food consumption: plate, dish, bowl",145.0,25.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00221CER093","industrial ware: white",1850,1900,"Food consumption: plate, dish, bowl",200.0,25.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00221CER095","industrial ware: white",1860,1890,"Food consumption: plate, dish, bowl",200.0,23.0,NULL,"Faiencerie de Jemmapes",0,"industrial ware",NULL
"NZR2.00223CER064","industrial ware: white",1760,1850,"Food consumption: plate, dish, bowl",180.0,20.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00236CER004","industrial ware: white",1750,1780,"Consumption: drinking",120.0,30.0,"landscape",NULL,0,"industrial ware",NULL
"NZR2.00239CER061","industrial ware: white",1760,1825,"Consumption: drinking",90.0,50.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00239CER062","industrial ware: white",1825,1875,"Consumption: drinking",100.0,60.0,"floral motif",NULL,0,"industrial ware",NULL
"NZR2.00239CER063","industrial ware: white",1825,1850,"Consumption: drinking",100.0,55.0,"floral motif",NULL,0,"industrial ware",NULL
"NZR2.00239CER067","industrial ware: white",1788,1837,"Food consumption: plate, dish, bowl",140.0,30.0,NULL,"scott",0,"industrial ware",NULL
"NZR2.00239CER069","industrial ware: white",1825,1850,"Food consumption: plate, dish, bowl",115.0,65.0,"floral motif",NULL,0,"industrial ware",NULL
"NZR2.00239CER073","industrial ware: white",1825,1900,"Food consumption: plate, dish, bowl",260.0,40.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00239CER074","industrial ware: white",1760,1800,"Food consumption: plate, dish, bowl",350.0,40.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00240CER015","industrial ware: white",1825,1875,"Consumption: drinking",85.0,55.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00240CER016","industrial ware: white",1825,1850,"Consumption: drinking",100.0,55.0,"floral motif",NULL,0,"industrial ware",NULL
"NZR2.00240CER025","industrial ware: white",1800,1850,"Food consumption: plate, dish, bowl",150.0,30.0,"animal scenery",NULL,0,"industrial ware",NULL
"NZR2.00240CER027","industrial ware: white",1800,1875,"Food consumption: plate, dish, bowl",200.0,15.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00240CER035","industrial ware: white",1760,1800,"Food consumption: plate, dish, bowl",250.0,27.0,NULL,"unknown",0,"industrial ware",NULL
"NZR2.00251CER102","industrial ware: white",1825,1875,"Consumption: drinking",100.0,55.0,"landscape",NULL,0,"industrial ware",NULL
"NZR2.00251CER103","industrial ware: white",1825,1875,"Food consumption: plate, dish, bowl",150.0,30.0,"landscape",NULL,0,"industrial ware",NULL
"NZR2.00251CER132","industrial ware: white",1775,1825,"Consumption: drinking",75.0,45.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00251CER133","industrial ware: white",1825,1875,"Consumption: drinking",90.0,55.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00251CER134","industrial ware: white",1825,1900,"Consumption: drinking",135.0,50.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00251CER138","industrial ware: white",1825,1875,"Consumption: drinking",125.0,30.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00251CER142","industrial ware: white",1825,1900,"Consumption: drinking",130.0,30.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00251CER144","industrial ware: white",1800,1850,"Food consumption: plate, dish, bowl",200.0,60.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00251CER145","industrial ware: white",1800,1850,"Food consumption: plate, dish, bowl",160.0,45.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00251CER149","industrial ware: white",1760,1800,"Consumption: drinking",115.0,30.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00251CER150","industrial ware: white",1775,1850,"Food consumption: plate, dish, bowl",150.0,25.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00251CER151","industrial ware: white",1825,1875,"Food consumption: plate, dish, bowl",140.0,30.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00251CER171","industrial ware: white",1775,1825,"Food consumption: plate, dish, bowl",220.0,25.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00251CER172","industrial ware: white",1775,1850,"Food consumption: plate, dish, bowl",180.0,15.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00251CER173","industrial ware: white",1800,1875,"Food consumption: plate, dish, bowl",240.0,30.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00251CER179","industrial ware: white",1800,1850,"Food consumption: plate, dish, bowl",210.0,20.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00251CER180","industrial ware: white",1775,1825,"Food consumption: plate, dish, bowl",170.0,25.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00251CER181","industrial ware: white",1825,1875,"Food consumption: plate, dish, bowl",170.0,15.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00251CER185","industrial ware: white",1850,1925,"Food consumption: plate, dish, bowl",250.0,40.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00251CER188","industrial ware: white",1760,1825,"Food consumption: plate, dish, bowl",260.0,40.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00251CER190","industrial ware: white",1760,1825,"Food consumption: plate, dish, bowl",190.0,20.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00251CER191","industrial ware: white",1775,1850,"Food consumption: plate, dish, bowl",260.0,40.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00251CER192","industrial ware: white",1760,1850,"Food consumption: plate, dish, bowl",250.0,30.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00251CER193","industrial ware: white",1760,1825,"Food consumption: plate, dish, bowl",250.0,25.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00251CER195","industrial ware: white",1760,1800,"Food consumption: plate, dish, bowl",300.0,25.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00251CER203","industrial ware: white",1775,1825,"Food preparation: cooking - and hearth utensils",320.0,15.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00252CER119","industrial ware: white",1850,1900,"Food consumption: plate, dish, bowl",170.0,35.0,"floral motif",NULL,0,"industrial ware",NULL
"NZR2.00252CER122","industrial ware: white",1825,1875,"Consumption: drinking",130.0,30.0,"landscape",NULL,0,"industrial ware",NULL
"NZR2.00252CER129","industrial ware: white",1775,1825,"Consumption: drinking",100.0,65.0,"floral motif",NULL,0,"industrial ware",NULL
"NZR2.00252CER132","industrial ware: white",1825,1875,"Consumption: drinking",100.0,55.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00252CER141","industrial ware: white",1775,1825,"Consumption: drinking",130.0,30.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00252CER146","industrial ware: white",1800,1850,"Food consumption: plate, dish, bowl",160.0,75.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00252CER168","industrial ware: white",1825,1875,"Food consumption: plate, dish, bowl",210.0,15.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00252CER175","industrial ware: white",1800,1875,"Food consumption: plate, dish, bowl",200.0,20.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00252CER176","industrial ware: white",1760,1825,"Food consumption: plate, dish, bowl",250.0,20.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00252CER177","industrial ware: white",1760,1825,"Food consumption: plate, dish, bowl",260.0,25.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00252CER179","industrial ware: white",1760,1825,"Food consumption: plate, dish, bowl",260.0,40.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00252CER181","industrial ware: white",1760,1800,"Food consumption: plate, dish, bowl",200.0,20.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00253CER113","industrial ware: white",1760,1800,"Consumption: drinking",70.0,45.0,"floral motif",NULL,0,"industrial ware",NULL
"NZR2.00253CER118","industrial ware: white",1760,1800,"Consumption: drinking",65.0,40.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00253CER124","industrial ware: white",1825,1875,"Consumption: drinking",120.0,27.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00253CER127","industrial ware: white",1825,1875,"Food consumption: plate, dish, bowl",160.0,20.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00253CER132","industrial ware: white",1850,1925,"Food consumption: plate, dish, bowl",160.0,20.0,"geometric patterns",NULL,0,"industrial ware",NULL
"NZR2.00257CER051","industrial ware: white",1825,1850,"Consumption: drinking",120.0,30.0,"landscape",NULL,0,"industrial ware",NULL
"NZR2.00257CER092","industrial ware: white",1775,1850,"Food consumption: plate, dish, bowl",190.0,30.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00257CER093","industrial ware: white",1825,1900,"Food consumption: plate, dish, bowl",120.0,70.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00257CER099","industrial ware: white",1760,1825,"Food consumption: plate, dish, bowl",250.0,25.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00257CER101","industrial ware: white",1760,1825,"Food consumption: plate, dish, bowl",260.0,25.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00257CER104","industrial ware: white",1800,1875,"Food consumption: plate, dish, bowl",250.0,35.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00257CER106","industrial ware: white",1760,1800,"Food consumption: plate, dish, bowl",260.0,30.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00257CER107","industrial ware: white",1760,1800,"Food consumption: plate, dish, bowl",250.0,25.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00257CER108","industrial ware: white",1760,1800,"Food consumption: plate, dish, bowl",200.0,20.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00259CER009","industrial ware: white",1775,1800,"Consumption: drinking",110.0,25.0,"floral motif",NULL,0,"industrial ware",NULL
"NZR2.00259CER011","industrial ware: white",1775,1825,"Food consumption: plate, dish, bowl",250.0,40.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00261CER008","industrial ware: white",1760,1800,"Consumption: drinking",80.0,50.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00518CER068","porcelain: Europe",1825,1875,"Consumption: drinking",130.0,30.0,NULL,NULL,0,"porcelain",NULL
"NZR2.00269CER044","industrial ware: white",1890,1936,"Consumption: drinking",130.0,22.0,NULL,"P. Regout 70",0,"industrial ware",NULL
"NZR2.00269CER056","industrial ware: white",1800,1875,"Food consumption: plate, dish, bowl",220.0,25.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00269CER058","industrial ware: white",1760,1800,"Food consumption: plate, dish, bowl",260.0,25.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00271CER055","industrial ware: white",1775,1850,"Food consumption: plate, dish, bowl",160.0,50.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00271CER060","industrial ware: white",1760,1800,"Food consumption: plate, dish, bowl",260.0,20.0,"floral motif",NULL,0,"industrial ware",NULL
"NZR2.00271CER062","industrial ware: white",1800,1850,"Food consumption: plate, dish, bowl",250.0,40.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00271CER063","industrial ware: white",1760,1825,"Food consumption: plate, dish, bowl",260.0,20.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00271CER064","industrial ware: white",1760,1800,"Food consumption: plate, dish, bowl",260.0,40.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00271CER065","industrial ware: white",1760,1800,"Food consumption: plate, dish, bowl",260.0,30.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00273CER038","industrial ware: white",1850,1900,"Food consumption: plate, dish, bowl",250.0,40.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00274CER083","industrial ware: white",1760,1800,"Food consumption: plate, dish, bowl",250.0,25.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00275CER123","industrial ware: white",1900,1936,"Food consumption: plate, dish, bowl",190.0,20.0,"geometric patterns",NULL,0,"industrial ware",NULL
"NZR2.00275CER128","industrial ware: white",1760,1800,"Food consumption: plate, dish, bowl",260.0,30.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00279CER009","industrial ware: white",1850,1900,"Food consumption: plate, dish, bowl",220.0,27.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00281CER031","industrial ware: white",1825,1875,"Food consumption: plate, dish, bowl",280.0,70.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00281CER045","industrial ware: white",1807,1823,"Food consumption: plate, dish, bowl",200.0,55.0,NULL,"Shorthose & Co",0,"industrial ware",NULL
"NZR2.00283CER031","industrial ware: white",1760,1825,"Food consumption: plate, dish, bowl",230.0,25.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00286CER052","industrial ware: white",1760,1800,"Consumption: drinking",70.0,45.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00286CER064","industrial ware: white",1760,1800,"Food consumption: plate, dish, bowl",260.0,25.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00289CER040","industrial ware: white",1775,1825,"Consumption: drinking",120.0,30.0,"floral motif",NULL,0,"industrial ware",NULL
"NZR2.00289CER041","industrial ware: white",1775,1800,"Consumption: drinking",50.0,30.0,"floral motif",NULL,0,"industrial ware",NULL
"NZR2.00289CER059","industrial ware: white",1800,1850,"Food consumption: plate, dish, bowl",240.0,20.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00289CER060","industrial ware: white",1825,1875,"Food consumption: plate, dish, bowl",230.0,20.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00289CER061","industrial ware: white",1775,1825,"Food consumption: plate, dish, bowl",260.0,35.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00289CER063","industrial ware: white",1775,1825,"Food consumption: plate, dish, bowl",210.0,20.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00289CER066","industrial ware: white",1800,1850,"Food consumption: plate, dish, bowl",190.0,20.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00289CER067","industrial ware: white",1760,1800,"Food consumption: plate, dish, bowl",260.0,30.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00292CER011","industrial ware: white",1825,1875,"Consumption: drinking",130.0,25.0,"floral motif",NULL,0,"industrial ware",NULL
"NZR2.00292CER013","industrial ware: white",1775,1825,"Food consumption: plate, dish, bowl",140.0,25.0,"floral motif",NULL,0,"industrial ware",NULL
